,0,1,Skill development/learning,Work-Life balance,Compensation & Benefits,Company culture,Job Security,Career growth & opportunities,Work Satisfaction,Sum
191,Very good,No thanks,0,0,0,0,0,0,0,0
192,Very good to good,No one,0,0,0,0,0,0,0,0
193,Best company,Slow growth,0,0,0,0,0,1,0,1
194,"Working culture is very good. Job security, career growth opportunities are ample.",Not following customer relationship for long term,0,0,0,0,1,1,1,3
195,"Liberty- work life balance is good.
Growth- equal to zero/biased.
Jon security- only upto the time u r needed.
Training- just to get the job done. No one will ever tell u what is expected from you.
Salary- Peanuts.
Politics- In everything.
Innovation- average.
The best part of my tenure was i made the best of friends who were the reason i survived those couple of years and completed my post graduation simultaneously
My advice- Join this organisation without keeping any expectation. Learn and move on- make way for other people to take your place. Work freely and behave asint you got nothing to loose- explore yourself- use freedom of speech. Dont get stuck as the place is freakishly additive. Get best of the experience and exit.",Refer above things and decide for your own,0,1,1,0,1,1,0,4
196,Camnucation,Compensation is decent,0,0,1,0,0,0,0,1
197,Good salary and work environment,Nothing,0,0,1,0,0,0,0,1
198,Team mates are co operative and helpful.work environment is good,Not sufficient training provided.,0,0,1,0,0,0,0,1
199,Good for fresher.,Salary not satisfied.,0,0,1,0,0,0,0,1
200,"Having experience as a sales executive in Samsung India pvt.ltd. is faar better then any local china made mobile co.,but there is a very low opportunities of career growth but if you are a fresher and want your career to be started with a marketing experience then samsung is a golden path...","Overall its a good job for a college student but by working with mobiles industry i should say there is no job security, you have to prove yourself every particular time to be with the company...",0,0,0,0,1,0,0,1
201,Specially salary package.,Shift timing,0,0,1,0,0,0,0,1
202,Good,Personal,0,0,0,0,0,0,0,0
203,This company open to innovation and readily adopts latest technology,Compensation is decent..but growth is slow,0,0,1,0,0,1,0,2
204,Punctuality,"Direct meet to customers. Sometimes, I have to work 14-18 hours straight in a day as I have to attend client calls in the evening and sometimes late into the night. Managers do not value an individuals’ unique strengths, which is why I have to take back my suggestions most of the times.",0,1,0,1,0,0,0,2
205,It is well commited company for skill development,"I need travel more from native , thats not suits me",1,0,0,0,0,0,0,1
206,Bad,Culture,0,0,0,1,0,0,0,1
207,It was really my pleasure to work in this company. Very nice friendly and courteous colleagues and superiors. Salary package is also amazing.,"This is a place where someone could work just for colleagues and salary, incentives. Apart from that the training part is not upto the mark. Job security is 0% as for anything at anytime organisation will ask us to leave in the name of intergrity. Career growth plan looks really amazing, but Nothing happens based on the plan, only politics play the role. Also the job is not bounded of any time frame. So there is little gap in work-life balance.",0,1,1,0,1,0,0,3
208,"The company is open to innovation and reading adopts latest technology. I love the fact that I am a part of a team that markets reliable, high-quality products and has a global client base.","Compensation is decent,but growth is slow. Tha work pressure is very high. Sometimes,I have to work 8-10 hours straight is a day as I have to attend client calls in the evening .Managers do not value an individual's unique strengths,which is why I have to take back my digestions most of the times. I do receive appreciations  emails from my client,but they mostly go unnoticed during my mid-year appraisals.Also,there is not on-job training for freshers,hence senior folks like me have to guide them step-by-step,which is a pain sometimes.",0,0,1,0,0,1,0,2
209,"Company is open to innovation and readily adopts latest technology, I love the fact that i am part of a team markets reliable.","Work pressure is high ,there is no on job training for freshers,politics",1,0,0,0,0,0,0,1
210,Grow a pvr company,Pvr is a grow company,0,0,0,0,0,0,0,0
211,Compensation is very good,No job security,0,0,0,0,1,0,0,1
212,"Good traning,Good job",Good career growth,1,0,0,0,0,1,0,2
213,Team mates are co operative and helpful.work environment is good,Not sufficient training provided.,1,0,0,1,0,0,0,2
214,"Good growth Company still now,  Iam Really happy with work, good quality work, good Safety work and good management, also onces weekly and monthly review metting conducted with Project manager about project status and another plus  good employee policy here, Comes to Salary timely.",No Dislikes,0,0,0,1,0,1,0,2
215,Nothing,"1. Even after being from a reputed Institute like IIM Indore, I was given a role of Collection Executive 
2. No work life balance, as all the employees have to come on all Saturday’s and most of the Sunday’s 
3. There were no implementation of policies and many fraudulent cases. No action taken by senior management on the above even after informing the same again and again 
4. There is no job security 
5. Allocation of Job roles and responsibilities is by the judgement of Regional & Zonal Heads. HR does a courier role only.",0,1,0,0,1,0,0,2
216,I really very like of work environment and better help my colleagues. I hope get the job experience in Home Credit India positively effect and helpful my career in future...🙂,More changes in process knowledge for every person in Home Credit i.e. not followed same process all employees and more changes in terms and conditions of all customers and empoyees.,0,0,0,0,0,0,0,0
217,Carter growth unto junior level is good. Middle level & High level is dependent on company requirement and politics,Attrestion rate is little more but new engineers joining very less,0,0,0,0,1,1,0,2
218,"Training, job security, work environment,innovation",Salary,1,0,1,0,1,0,0,3
219,"Job security, Career growth",Nothing,0,0,0,0,1,1,0,2
220,Learning’s,Worklife balance,1,1,0,0,0,0,0,2
221,It's for building ur career but don't expect good money,No hike,0,0,1,0,0,0,0,1
222,It's like my own family,Nothing to say,0,0,0,1,0,0,0,1
223,Highly cultural company with good work life balance. Having pleasant work environment & good team,Nil,0,0,0,1,0,0,1,2
224,A very energetic and supportive management,Career growth is little bit challenging for site people,0,0,0,0,0,1,0,1
225,Not secure job..there is no good managing for all employees..no facilities..poor safety...poor machine..not so good..,Facilities,0,0,0,0,1,0,0,1
226,Working conditions and facilities,Low pay,0,0,1,0,0,0,1,2
227,"Hardly anything. But if you're looking to make a mark in Consulting, especially Real Estate Consulting, you may learn a lot- ranging from field work to corporate presentations.","Please note, I'm talking about the Gurugram office. Can't comment about other locations. Pathetic company culture. They don't even have adequate seating capacity in the Cafeteria. You might as well stand and eat! Too hierarchical structure - can rise up the ladder only if you please your supervisors. Completely unprofessional. Will expect you to stay late at night often, simply because they didn't finish their work on time. They're making a fool of the clients - fudging facts and reports.",1,0,0,1,0,0,0,2
228,"I am working with Rivigo for 6 months this is the best industry of learning and working. 
Daily basis smart and clean work and shift wise devided work.
Very hard work person touch the Rivigo
another person not worked at Rivigo.","If any employee dislike the Rivigo 
Timing issue.",1,0,0,1,0,0,0,2
229,The Cipla is the very best company where work culture are so good and never should be afraid about job safety.,the company should be thought about the capable candidates during appraisal.,0,0,1,0,1,0,0,2
230,Vergood,Nothing,0,0,0,0,0,0,0,0
231,"team, timings",job security,0,0,0,0,1,0,0,1
232,It was good and it was awesome I was being there it was a lots of experience have taken from that company so it was a good,Target jobs that's over special for every person,1,0,0,0,0,0,1,2
233,"Nothing, you will not have any work if you joined as a fresher,
long bench time","mandatory 9 working hours,
no hike
no work
In short waste of your career time.",1,0,1,0,0,0,0,2
234,Nothing,Pressure,0,1,0,0,0,0,0,1
235,Its a very wonderful experience in this company. my HOD is very good knowledge person and he always sharing his knowledge.,nothing is there,0,0,0,0,0,0,1,1
236,It's a company with ethics .,Work pressure remains 24*7,0,1,0,1,0,0,0,2
237,"Open culture, you are measured for work n not age.",Dont dislike anything about this company. One of the awesome place to work with.,0,0,0,1,0,0,0,1
238,Good work environment and better work life balance. Trainings and learnings related to job prospectives.,Company compensations are average and no proper benefits for employees.,0,1,1,0,0,0,0,2
239,Nothing worst,HR policy,0,0,0,0,0,0,0,0
240,the company is open to innovation and readily adopts letest technology. i love the fact that i am part of a team that market reliable high quility products and hs a global client base.,"job security , career growth,",0,0,0,0,1,1,0,2
241,Salary and incentives are good.,Anywhere they can transfer. In single month they can transfer as per their requirements. And sale pressure too much.. After sold the products it will update the base price only not on selling price. So very tuff to achieve targets.,0,0,1,0,0,0,0,1
242,Livspace is the top most interior design company in India. I have learnt a lot from the company and my community manager prithvi RN has helped me a lot in making designs and gives encouragement in work,Nothing else,1,0,0,0,0,0,0,1
243,"Flexible work timing, Relaxed shift timings, No layoffs at any cost, good work place for newly married or married people with toddlers.","Age old technology, company's primary focus is customer satisfaction. Employees are expected to think out of the box whereas the devices that we work on or the projects in place are too old even for a 40 years old techie. Absolutely no enthusiasm or encouragement shown towards learning or upskilling. HR's notoriously known for being sly. Managers are generally ""mail"" managers rather than ""tech skilled"". This is probably one of those few companies calls the ""variable pay"" as bonus and the duration between appraisal discussion to the reflection of the ""updated salary"" is 3 months. No onsite opportunity regardless of the designation. In a nutshell, talented people's time and efforts will be handled brainless laid-back management.",1,1,1,1,1,1,0,6
244,Dispatch in SAP Operator,Nthing,0,0,0,0,0,0,0,0
245,"Work satisfaction and work-life balance guaranteed here. And work culture, recognitions for your work are the best here.",Compensations and appraisals are a bit lesser than that of market value.,0,1,1,0,0,0,1,3
246,I was so proud on my self when i was in army.i always wanted to do serve my country from the core of my heart.i still proud on myself to be an indian and a great respectful salute to all my soldier and brothers of the indian army. I love my country #i love my india. Jai hind .vandemataram. bharat mata ki jai.,"I don't dislike army but one thing that hurt me,i had to leave army for my physical health issue. I am not blaming my  army.It was my fault .May be i could not gave my 100% during the training period.Nothing to dislike about INDIAN ARMY .once more . ""JAI HIND"" to all my soldiers and and a great salute to all the soldiers who are not among us and gave their life to save us. Jai hind vandemataram",0,0,0,0,0,0,0,0
247,No any growth of ground level employee,salary revision,0,0,1,0,0,1,0,2
248,Good chance to learn in discovery,No job safety,1,0,0,0,1,0,0,2
249,It's very amazing and fantastic company my dream is to work in Larsen and toubro but on company role not at third party and I completed my dream on day,"*Everything is fine but work is very difficult  and there is no timing of my evening to come at hone because it's a field work that's why 
Compensation is decent but growth is slow the work oressure I very big  sometimes I have worked 14 to 18 hour thanks thanks ttttttttttttttttttttttttttttttt 
Thanks",0,0,1,0,0,1,0,2
250,Teammates,"Job security,Politics,salary,appraisal,career growth,Selfish Managers",0,0,1,0,1,1,0,3
251,Good experience,Enjoying in job,0,0,0,0,0,0,0,0
252,Friendly atmosphere and growth,Working hours,0,0,0,0,0,1,0,1
253,"I would like to take the challenges to improve culture, approach of working, thought process to deliver unbelievable results in bottom line in the industry by using my exposure and learning from various MNC's like Huhtamaki, Hindustan Unilever and so on. For me, Uflex is the company where the scope and opportunity is very high to deliver and grow with the company","I tried and delivered the results to correlate the expenses vs savings but there is a big generation gap to understand the latest therapy of maintenance like 5S, TPM and WCOM type lean manufacturing techniques. They still believe in temporary  engineering type maintenance and draining the money through high energy consumption in power & fuel as well as running with high wastage. They are not ready to upgrade the 10 years old machines and living with daily breakdowns. They think maintenance is required only to correct the breakdowns as fast as possible without doing expenses while I believe that maintenance is there to avoid the breakdowns / stoppages so that wastage can be reduced / eliminated due to machine health issues. Difference in opinion is very basic which not suits me because I believe in delivering the results not doing the job without satisfaction.",0,0,0,1,0,1,0,2
254,"when I had joined in 1981 & now there is drastic change in values & culture .Tata culture has gone off totally. Now every now & then u will hear sack him, warn  him,issue charge sheet.",work culture is very bad.Favoritiesm at high level. Finding reasons & excuses has become important art rather than accomplishing the task.Seniors pay attention in finding mistakes & faults of their juniors rather than grooming them.,0,0,0,1,0,0,0,1
255,Very bad experience in my professional Career  and ruin my 6 yrs  in core sector,"Bad working culture, our senior have no academic technical degree and any trainee can't acquired knowledge from this industry because our senior doesn't help him but conspiracy with him.",1,0,0,1,0,0,0,2
256,"1. Support from Colleague and staffs.
2. E-Learning Programme.
3. On-time salary.
4. Leave and other benefits
5. Employee welfare Fund
6. Accidental, medical & other benefits
7. CBRE Post regarding ifferent running issues and solution to those
8. Proffessional company to work",1. Working in site with Client is little tough when you are dealing in a state like UP.,1,0,1,0,0,1,0,3
257,Awesome working area.,Transportation isnot so good.,0,0,1,0,0,0,1,2
258,Nothing,Everything,0,0,0,0,0,0,0,0
259,They have good infrastructure . Good campus facilities .,No carrier growth. Extremely bad politics goes on . If you keep your manager happy by any how then only you can survive. IF you fail to keep reporting Manager happy they will threat you badly and took off from job by multiple ways. And you can not keep happy your Manger by good work . Extremely bad HR support . Almost no support from HR for anything. Work culture is too bad. It is not a good place to work .,0,0,0,1,0,1,0,2
260,"As we all know Tanishq is a Tata brand and Tata means trust so this is the foremost reason why I like Tanishq and apart from this Tanishq also gives u the platform to experience new things and build your confidence. It also helps us to develop patience as we had to give the best customer service and for that we need patience and good communication skills too. So, overall it helps in your personality development. 
Tanishq is the best jewellery brand in the country till date and I'm quite sure that it will sustain this position ever. 
Thanks,
Tusharika Kaul 
Manager Operations 
Tanishq - Prayagraj",I think in my work career I found only one thing which I can say that I dislike about Tanishq and I.e. Time duration rest everything is good.,1,0,0,1,0,0,0,2
261,yes,My Growth,0,0,0,0,0,1,0,1
262,Overall Very good,"I m not dislike, I'm currently working here",0,0,0,0,0,0,0,0
263,Company is good for freshers.,Salary is very less.,0,0,1,0,0,0,0,1
264,"Politics very much higher 
It's very bad","Job security, politics",0,0,0,0,1,0,0,1
265,"Training, good salary future growth job security",Job security,1,0,1,0,1,1,0,4
266,everything is good,nothing,0,0,0,0,0,0,0,0
267,Compensation,Except compensation everything,0,0,1,0,0,0,0,1
268,bad one no job security,fake review if its good,0,0,0,0,1,0,0,1
269,Team work communication with respective colleagues,No proper timings,0,0,0,0,0,0,0,0
270,Excellent,Not balancing on senior and Junior grade,0,0,0,0,0,0,0,0
271,Job security,Work pressure is high.compensation is less,0,0,1,0,1,0,0,2
272,It's a nice place to work in.,Not as such faced any issue,0,0,0,0,0,0,0,0
273,Good company to work with.Good employee benefits. Job security is there.,Salary is good but appraisals gets delays. Slow growth,0,0,1,0,1,1,0,3
274,Training about technical skills,no such,1,0,0,0,0,0,0,1
275,Excellent,Nothing,0,0,0,0,0,0,0,0
276,"Techno-Commercial Skills probably the best in the Industry, Client Oriented Approach, Soft Suave, Assertive, Transparent Work Environment !!!","At Ground Level US corporate values vanish and austerity & apathy rule, Cost Saving at the Cost of Employee Welfare & Basic Amenities as if treated as a Commodity.",0,0,1,1,0,0,0,2
277,Trening process,No .one,1,0,0,0,0,0,0,1
278,In SAIL job secured and work environment is good.,Salary and career growth are not good.,0,0,1,0,1,1,0,3
279,"Good Ambience
Good opportunity for basic learner
Company is helpful",If you are an advanced learner then IT support in this company is not as good as you expected,1,0,0,0,0,0,0,1
280,my future development,my future devalopment,0,0,0,0,0,1,0,1
281,Freedom to work on behalf of ownership for Site Operations.,No dislikes.,0,0,1,0,0,0,0,1
282,All experience is good,Level 3 opportunity are very less,0,0,0,0,0,1,0,1
283,Skill development,Career growth,1,0,0,0,0,1,0,2
284,Campus and work place,Nothing,0,0,0,0,0,0,0,0
285,I worked as a CCE at Intelenet Global Services Privete Limited. There I got more support in everytime. And Job security was fine. Thank you.,I don't dislike.,0,0,0,0,1,0,0,1
286,"The culture and the leadership in the company is the primary driving force, the reason why people stick to this company for so long",The new business pipeline is considerably very weak,0,0,0,1,0,0,0,1
287,TRAINING,WORK ENVIRONMENT,1,0,0,0,0,0,1,2
288,The company is very sound and giving chance for learning and development. Job security is also there. But benefits and increments are lower than the average of industry.,"Career growth and salary appraisal is the negative point of L&T. Due to large size of personnel, taking too much time to resolve the HR problems of the employees.",1,0,1,0,1,1,0,4
289,Micromax is very good company work environment  salary  appraisal all about .,everything well i love Micromax,0,0,1,0,0,0,0,1
290,Strong Network,Work Pressure is high,0,1,0,0,0,0,0,1
291,one of the best company who gives passive income im proud to be a glaze distributor heartly thanks to my sponsor who give an operchunty in this company  my id no bhc830an,wrong people and wrong leadership (some people),0,0,1,0,0,0,0,1
292,"Nice to work with the company. Company provided more benefits for staffs entire year with bonus, staff welfare and more gifts always.",Salary appraisal was not enough satisfied in that company,0,0,1,0,0,0,0,1
293,Training,Compensation and benefits,1,0,1,0,0,0,0,2
294,I joined as a fresher in Aasaanjobs now it has been a year working in this company.Aasaanjobs is among one of the best platform to start your career in recruitment.An individual is provided here with new opportunities so that one can make his or her individual growth as well as the company will grow.,Every coin have two sides so one should not dislike something.Every company has their own code of conduct which one should follow rather than disliking the decisions of the company one should think about the positive change which will be happening after such decisions.,0,0,0,0,0,1,0,1
295,"Work-life balance, job security, travel etc.","Lack of team spirits, sloppy employees, Lack of healthy environment at work place",0,1,0,0,1,0,0,2
296,Workplace infrastructure (i.e their headquarters) is excellent. Facilities are more than enough for a workplace.,Politics and policy of the company. Unethical behaviour of people.,0,0,0,1,0,0,0,1
297,Nothing,One of the worst company I had worked for,0,0,0,0,0,0,1,1
298,The best part of working in indigo was salary part...which always used to come either before time or on time...never got delayed...lot of learning and growth opportunities were there.,The dislike part was the work environment which was very demotivating.,1,0,1,0,0,1,0,3
299,safety of work,no promotion by position,0,0,0,0,0,1,0,1
300,"It is very easy to Conway the journey because here growt and skillsof employees are basic trademarke which result in so much knowledge,skills, and experience.",Not interested,1,0,0,0,0,0,0,1
301,Only money,No safety no satisfaction working like no respective no travel allowance ..no food,0,0,1,0,0,0,0,1
302,Career growth,Environment,0,0,0,0,0,1,0,1
303,"I love the fact that I am a part team that markets reliable, high-quality products and has a global client base.",Working hours more than that of HR policy,0,0,0,0,0,0,0,0
304,It is an over grown startup. Full of chaos and lack of a common vision. Nothing more to it.,"No training
No structure
Poor culture
No security
No work life balance
High on politics",1,1,0,1,1,0,0,4
305,"Amazon is considered to be one of the best private company in India in terms of their work culture and ethics. Unlike many of the other companies, here you get good compensation for over time. Work place is beautiful and clean and there is no seniority, you call your mangers by name which put them on an equal level with you apart, from their position. There are ample opportunities even after you are placed inside the company. They pay a decent package even for begginers in any department. You learn so much and are given so many opportunities to learn more and take part in co curricular activities. And most of all there is no descrimination tolerated inside the company.","I don't particularly hate anything about the company it's just that depending upon your job and position you are expected to meet certain goals, and so even if you have chances to take part in othee activities you are not able to because your work requires you to meet your target.",1,1,1,1,0,1,1,6
306,Its good to work with ANI TECHNOLOGIES PRIVATE limited,Low job security,0,0,0,0,1,0,0,1
307,"We gain the good knowledge here we learn the many things here
Like  front office desk,  booking the tickets, and international and domestic package. Etc.","They were speaking the language
Hindi, telugu, english, kannada and marathi",1,0,0,0,0,0,0,1
308,Overall culture is good. Seniors are very helpful.,Nothing,0,0,0,1,0,0,0,1
309,"Good for learning and skills and fresher
Dynamic working hrs","HR policies
HR Dept doesn't exist
System doesn't exist in the organization.
Poor crowd and working environment.
Appraisal comes once in 2 years.",0,0,1,0,0,0,0,1
310,Nice company to work training and job security,Over all good,0,0,0,0,1,0,0,1
311,Fraud company and his manager. My manager Santosh Thakur has mentally harrassment with me,Fraud,0,0,0,0,0,0,0,0
312,Work independently.,Depends upon a client.,0,0,1,0,0,0,0,1
313,Shapoorji Pallonji is reputed organization and management respect each employee advice and behalf like a friend.,Salary to be increase and more welfare benefit to be provided to the employees.,0,0,1,0,0,0,0,1
314,Good chemical safety,Environmental problem,0,0,1,0,0,0,0,1
315,Good to Learn,Poor Compensation,1,0,1,0,0,0,0,2
316,Good for initial learning.,Partiality,1,0,0,1,0,0,0,2
317,"Very nice and good culture, Salary and incentives always on time, weekly training programs, celebrations of festivals, overall it was total employees satisfaction environment",Work load,1,0,1,1,0,0,0,3
318,"All employees and teammates are supportive, training is provided every week, career growth is also good,anyone would love the work environment.",Working in shifts.,1,0,0,0,0,1,0,2
319,"The company is good for salary. In facade industry Glass wall is only one company to pay on time. Good working environment. Same level colleague's are good supportive. Festival celebration events are fantastic.
HR policies is also good.","There is no growth in company. You have to work only on same profile which is provided you at joining. Specially in design dept. If your oppointed as a Designer then you whole life your are going to work as designer.
Famous for office politics.
No limits in working hours.. 
Some times we have to work 12 or 14hrs a day which is too excessive than normal working hours. And height of torcher is that on that critical time they will not pay a single rupee for your dinner travel etc.
They don't care.",0,0,1,0,0,1,0,2
320,"Had a good work environment with a good team members,training for an individual is excellent which was a best platform to learn about lean manufacturing. Innovation for new products was well supported by the manager.",Salary /appraisal is the main reason for my resignation,0,0,1,0,0,0,0,1
321,"Work life balance , Good Working culture",Growth opportunities needs to be increased,0,1,0,1,0,1,0,3
322,-,-,0,0,0,0,0,0,0,0
323,I am not like working,Growth slow but pressure very high,0,1,0,0,0,1,1,3
324,Nothing.,There is no transperancy in system. Only ALDEP people get growth blindly. No one to listen about the problems of an employee. Appraisal system is very poor.,0,0,1,0,0,1,0,2
325,Management open for suggestions and approachable. Employee caring thought and policies aligned to this. Open learning environment. Focused on products and market. Company believe in IT driven business processes. Rewarding culture.,Nothing at all,0,0,0,1,0,0,0,1
326,The team and seniors are always supportive. I got my position change every 6months and it is always being good learning experience and with different teams and is always a good chance to explore my ideas. The management always considered on our concern though it takes little bit time but here we make sure the things get happen.,I personally don't have any thing  here which I dislike but would also like few things to get improved is the process need to be little fast moving.,0,0,0,0,0,0,0,0
327,Yes,Work culture,0,0,0,1,0,0,0,1
328,The company is in good way at present and it's work is highly qualified and safed . I really appreciate that and I am a part of that company which gives me a knowledge and skills. Thank you,Mostly it's a good firm but there was salary issues and some work issues.,1,0,1,0,0,0,0,2
329,"Being an elite defence force, Indian Navy has very mature culture. It takes raw young talents and moulds them into professionals.","I don't think there is something I don't like. As it's defence force, it demands lot of rigidity, strict discipline and lower emphasis on human rights (only a few applicable).",0,0,0,1,0,0,0,1
330,Everything,Nothing,0,0,0,0,0,0,0,0
331,Training's are Good. We can grow our Network since huge Number of employees so chance to meet different people. I made sure my profile is Oriented to the right Orbit.,"Too many Scrutiny's and exams although when cleared them no appreciations. Management are very Skeptic when Compensations or other Money related talks happen. People fate get decided by the project he/she Works in. No Work From Home option. I mostly Dislike the BIN system and categorization of trained Freshers.No other Indian MNC follow such Money saving Tactics. Recruiting people based on  Marks secured  in training, rather could discard them into the organisation. Then why You Choose Creamy people from Colleges ? Too much of Kindergarten Rules people still feel  like a college graduate although working here.Company should think of its employees before doing any Super Charity to outside world. To Frustrated Fresher Folks / whoever who reads this, Don't mind of this initial step if you chosen by Wipro, You will have a bright feature.",0,0,1,1,0,0,0,2
332,"Its a small company till now, but there are huge opportunity to grow in near future, Everyone of this company is very much co operative,   Mr.N.K Daga is the owner of the company, who has enormous knowledge about the fragrances, We are growing through his experience & hard work of all sales & back office employees, There are a good work environment, Everyone is very much responsible about their  own job, I want to retire from this company","Some time we are facing tremendous pressure on Non stocks in Godown,",0,0,0,0,0,1,0,1
333,Work life balance is there. No frequent weekend workings.job security is there. No politics. Teammates are from different cultural background and work happily with each other. Salary n other compnsations are good. Mediclaim policies n insurance are excellent.,"Learning n training is WebEx based which doesn't help that effectively, moreover employee is occupied in his daily so kuch that he couldn't give time to extra time other activities rather than work,which eventually effects his goals n appraisals. Your manager doesn't release you from one account n use u till they have project.moving resources from one project to another eventually distracts the focus of employee from his work. Some projects are really worst to work. But you can't deny those projects so forcefully you have to work. There is so much biasness shown when it comes to appraisals. All HR RMG N PM are not helpfull when it comes to the release n promotions n appraisals.any complaint you make will eventually turned as your mistake only. Tcs HRs are pathetic..No buddy i hve seen helpful when u r in trouble. On-site opportunity are there but only for those who does buttering with leads n managers. Hard working people are treated as donkeys. For showing ur innovations u need to work on weekend or seat extra in office after completing ur 9 hrs duty..Work satisfaction is less. I worked here for 2.5 years but now got bored due to motivation or consideration in d project. Nobody appreciates your for hard work. Nd ur smart work is compansate with any single mistake as if ur d biggest culprit of everthing.",1,1,1,0,1,0,0,4
334,Only the brand name and market presence of company,"Office politics, very highly attrition rate, no permanent senior management members",0,0,0,0,1,0,0,1
335,"As a current employee of Quislex I mosyly like the training part. They always trained their associates very well and helping them to grow. Also, the overall work process of Quislex is very balanced.",As being a no.1 LPO in the market quislex need to improve their work culture.,1,0,0,1,0,0,0,2
336,Rvnl is very good platform for fresher and learn all type of civil construction works and office works in this organisation.,"Experience holder not get benefits as per experience,",0,0,1,0,0,0,0,1
337,Interacting with every guests I attended..,"Very uncivilized management,  no less than some people who came from village and injecting their doctrines into the weaks.. I am glad I left.. I did a great favour on myself by quiting PVR.. 
I only hate the management not a beauty called PVR..  It gave me a lot to learn.  I guess it made me the man I am today,",1,0,0,0,0,0,0,1
338,Excellent and understanding higher authorities. Job security is plus point. A good work environment.,Just a night shifts.,0,0,0,0,1,0,0,1
339,"I woked for dtdc 3 years as a channel management officer ,in the industry it's the most employee support company....Thank you dtdt and thank you our chairman sir shri subashish chakraburthy sir.",Know what about I don't no but at my time the reason iam resigned for dominating one cast group isum...,0,0,0,0,0,0,0,0
340,The company has a good environment which allows people to enjoy while working. In addition to that the company provides a lot of opportunities to develop our career. Job security is absolutely good. Team bonding is really too good that I loved to come to office for work everyday. If I get an opportunity to work in WiPRO for HR operations I would definitely come back to work again.,Salary increment every year is average.  Growth is very slow.,0,0,1,0,1,1,0,3
341,"Perks- free meal, coupons, weekends (2 days) ; salary ;",All other things except mentioned above. Most of the teams you learn nothing significant and may turn out to be incompetitive and technically handicap if you solely rely on office work. you may find some frustated and insecure seniors as well who may exercise their power on you like by not letting you to go in any foreign trips unless yo do bootlicking. wasted 2 years of my life but every cloud has a silver lining(got some office politics experience). If they can't provide you good work then they should try to provide clean environment.,1,0,0,1,0,0,0,2
342,While entering into Vodafone you must have good salary otherwise very difficult to progress and more cost cutting by bonus.,Work and work no leave...,0,0,1,0,0,0,0,1
343,Environment is very good training or trainer all r exillent.,But the behiver of owner of Jhansi tanishq store is not good she is very bad lady her behiver with staff is very bad.,1,0,0,0,0,0,0,1
344,"Myntra is a India largerest fashions it's located e-commerce industry.. I hope you all Now days fashions upgrading. I love my myntra.  The enviornment and nature... So good. Then those they are working under ground staff they obtained the jobs properly. And following the formalities 
.",There is nothing dislike myntra,0,0,0,0,0,0,0,0
345,Company Culture,Salary,0,0,1,1,0,0,0,2
346,Super work,No dislike,0,0,0,0,0,0,1,1
347,I like the work environment of the company.,No job satisfaction. No work related to core here.,0,0,0,0,0,0,1,1
348,All the work done by a sailor can say memorable and professional,Training is a part of navy it's a enjoyable life,1,0,0,0,0,0,0,1
349,My feedback is for particularly Zenext Division leadership and people to be very precise at Delhi region may be company is good but I personally can't comment anything good as I was not make felt anything like that. It is the people who make the company's image internal or external good or bad.,"As per my experience I lived like fools paradise. Too much politics is there. No work life balance no bother what you felt. No professionalism. Salary/appraisal??? Career development of you want all these then this is not the company for you at least for talented people. But yes you have buttering talent than anything you can get no need of any talent.No transparency, no feedback system no one will listen you. Innovation   keep with you only. Very big communication gap between people and leadership. You can see the politics at every level. If you like this environment than grab the opportunity.
Again this is my personal experience nothing to do with the company, I shared which I make felt by my leadership. In my 11years of career I had not worked these kind of people. Now you will think why I had choose this company to work. Let me make it clear that I had not chosen this company my previous organisation had took this decision due to some unavoidable situations...now no space to type s",0,1,1,0,0,1,0,3
350,I really very like of work environment and better help my colleagues. I hope get the job experience in Home Credit India positively effect and helpful my career in future...🙂,More changes in process knowledge for every person in Home Credit i.e. not followed same process all employees and more changes in terms and conditions of all customers and empoyees.,0,0,0,0,0,0,0,0
351,Yes,North Gujarat,0,0,0,0,0,0,0,0
352,"Team mates are good, training very good, Job security best, carrier growth very nice, work environment good., work life balance good.",I like very much all aspects of g4s.,0,1,0,0,1,1,1,4
353,Vergood,Nothing,0,0,0,0,0,0,0,0
354,"I'm very happy to be in glaze trading company, it has totally changed my life, lucky to be a member of glaze family.  Go galway",I'm happy for everything,0,0,0,0,0,0,1,1
355,You should know the market trend !,no idea,0,0,0,0,0,0,0,0
356,Since i am working in oracle apps. They have Work from home facility. Very good project processes. So quality of deliveries are good.,They have a front office  and back office culture. Front office france team will always held you back. They wont share business knowledge. Good work is kept by them. So with time you will rust your skills. Even the managers are treated as slaves by french management. And thats frustating. And for small mistakes they keep escalating and blame team in india. So its very discouraging. Functional team is only for data entry i.e. doing setups. They even dont know end to end functionality. And always struggle with front office people. Salary hikes is only 4% anually. Even the rent hike is 10% anually and maid salary increases with same percentage every year. Only thing you will learn in capgemini is how to handle french people and if you impress them you will get an opportunity to travel to france for 1 to 3 months. So think before you join.,0,0,0,1,0,0,0,1
